pclass,survived,name,sex,,,,,,,,,,,,,,,,,,,
1,1,"Allen, Miss. Elisabeth Walton",female,,,,,,,,,,,,,,,,,,,
1,1,"Allison, Master. Hudson Trevor",male,,,,,,,,,,,,,,,,,,,
1,0,"Allison, Miss. Helen Loraine",female,,,,,,,,,,,,,,,,,,,
1,0,"Allison, Mr. Hudson Joshua Creighton",male,,,,,,,,,,,,,,,,,,,
1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,,,,,,,,,,,,,,,,,,,
1,1,"Anderson, Mr. Harry",male,,,,,,,,,,,,,,,,,,,
1,1,"Andrews, Miss. Kornelia Theodosia",female,,,,,,,,,,,,,,,,,,,
1,0,"Andrews, Mr. Thomas Jr",male,,,,,,,,,,,,,,,,,,,
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,,,,,,,,,,,,,,,,,,,
1,0,"Artagaveytia, Mr. Ramon",male,,,,,,,,,,,,,,,,,,,
1,0,"Astor, Col. John Jacob",male,,,,,,,,,,,,,,,,,,,
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,,,,,,,,,,,,,,,,,,,
1,1,"Aubart, Mme. Leontine Pauline",female,,,,,,,,,,,,,,,,,,,
1,1,"Barber, Miss. Ellen ""Nellie""",female,,,,,,,,,,,,,,,,,,,
1,1,"Barkworth, Mr. Algernon Henry Wilson",male,,,,,,,,,,,,,,,,,,,
1,0,"Baumann, Mr. John D",male,,,,,,,,,,,,,,,,,,,
1,0,"Baxter, Mr. Quigg Edmond",male,,,,,,,,,,,,,,,,,,,
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,,,,,,,,,,,,,,,,,,,
1,1,"Bazzani, Miss. Albina",female,,,,,,,,,,,,,,,,,,,
1,0,"Beattie, Mr. Thomson",male,,,,,,,,,,,,,,,,,,,
1,1,"Beckwith, Mr. Richard Leonard",male,,,,,,,,,,,,,,,,,,,
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,,,,,,,,,,,,,,,,,,,
1,1,"Behr, Mr. Karl Howell",male,,,,,,,,,,,,,,,,,,,
1,1,"Bidois, Miss. Rosalie",female,,,,,,,,,,,,,,,,,,,
1,1,"Bird, Miss. Ellen",female,,,,,,,,,,,,,,,,,,,
1,0,"Birnbaum, Mr. Jakob",male,,,,,,,,,,,,,,,,,,,
1,1,"Bishop, Mr. Dickinson H",male,,,,,,,,,,,,,,,,,,,
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,,,,,,,,,,,,,,,,,,,
1,1,"Bissette, Miss. Amelia",female,,,,,,,,,,,,,,,,,,,
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,,,,,,,,,,,,,,,,,,,
1,0,"Blackwell, Mr. Stephen Weart",male,,,,,,,,,,,,,,,,,,,
1,1,"Blank, Mr. Henry",male,,,,,,,,,,,,,,,,,,,
1,1,"Bonnell, Miss. Caroline",female,,,,,,,,,,,,,,,,,,,
1,1,"Bonnell, Miss. Elizabeth",female,,,,,,,,,,,,,,,,,,,
1,0,"Borebank, Mr. John James",male,,,,,,,,,,,,,,,,,,,
1,1,"Bowen, Miss. Grace Scott",female,,,,,,,,,,,,,,,,,,,
1,1,"Bowerman, Miss. Elsie Edith",female,,,,,,,,,,,,,,,,,,,
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,,,,,,,,,,,,,,,,,,
1,0,"Brady, Mr. John Bertram",male,,,,,,,,,,,,,,,,,,,
1,0,"Brandeis, Mr. Emil",male,,,,,,,,,,,,,,,,,,,
1,0,"Brewe, Dr. Arthur Jackson",male,,,,,,,,,,,,,,,,,,,
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,,,,,,,,,,,,,,,,,,,
1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,,,,,,,,,,,,,,,,,,,
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,,,,,,,,,,,,,,,,,,,
1,1,"Burns, Miss. Elizabeth Margaret",female,,,,,,,,,,,,,,,,,,,
1,0,"Butt, Major. Archibald Willingham",male,,,,,,,,,,,,,,,,,,,
1,0,"Cairns, Mr. Alexander",male,,,,,,,,,,,,,,,,,,,
1,1,"Calderhead, Mr. Edward Pennington",male,,,,,,,,,,,,,,,,,,,
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,,,,,,,,,,,,,,,,,,,
1,1,"Cardeza, Mr. Thomas Drake Martinez",male,,,,,,,,,,,,,,,,,,,
1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,,,,,,,,,,,,,,,,,,,
1,0,"Carlsson, Mr. Frans Olof",male,,,,,,,,,,,,,,,,,,,
1,0,"Carrau, Mr. Francisco M",male,,,,,,,,,,,,,,,,,,,
1,0,"Carrau, Mr. Jose Pedro",male,,,,,,,,,,,,,,,,,,,
1,1,"Carter, Master. William Thornton II",male,,,,,,,,,,,,,,,,,,,
1,1,"Carter, Miss. Lucile Polk",female,,,,,,,,,,,,,,,,,,,
1,1,"Carter, Mr. William Ernest",male,,,,,,,,,,,,,,,,,,,
1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,,,,,,,,,,,,,,,,,,,
1,0,"Case, Mr. Howard Brown",male,,,,,,,,,,,,,,,,,,,
1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,,,,,,,,,,,,,,,,,,
1,0,"Cavendish, Mr. Tyrell William",male,,,,,,,,,,,,,,,,,,,
1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,,,,,,,,,,,,,,,,,,,
1,0,"Chaffee, Mr. Herbert Fuller",male,,,,,,,,,,,,,,,,,,,
1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,,,,,,,,,,,,,,,,,,,
1,1,"Chambers, Mr. Norman Campbell",male,,,,,,,,,,,,,,,,,,,
1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,,,,,,,,,,,,,,,,,,,
1,1,"Chaudanson, Miss. Victorine",female,,,,,,,,,,,,,,,,,,,
1,1,"Cherry, Miss. Gladys",female,,,,,,,,,,,,,,,,,,,
1,1,"Chevre, Mr. Paul Romaine",male,,,,,,,,,,,,,,,,,,,
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,,,,,,,,,,,,,,,,,,
1,0,"Chisholm, Mr. Roderick Robert Crispin",male,,,,,,,,,,,,,,,,,,,
1,0,"Clark, Mr. Walter Miller",male,,,,,,,,,,,,,,,,,,,
1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,,,,,,,,,,,,,,,,,,,
1,1,"Cleaver, Miss. Alice",female,,,,,,,,,,,,,,,,,,,
1,0,"Clifford, Mr. George Quincy",male,,,,,,,,,,,,,,,,,,,
1,0,"Colley, Mr. Edward Pomeroy",male,,,,,,,,,,,,,,,,,,,
1,1,"Compton, Miss. Sara Rebecca",female,,,,,,,,,,,,,,,,,,,
1,0,"Compton, Mr. Alexander Taylor Jr",male,,,,,,,,,,,,,,,,,,,
1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,,,,,,,,,,,,,,,,,,,
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,,,,,,,,,,,,,,,,,,,
1,0,"Crafton, Mr. John Bertram",male,,,,,,,,,,,,,,,,,,,
1,0,"Crosby, Capt. Edward Gifford",male,,,,,,,,,,,,,,,,,,,
1,1,"Crosby, Miss. Harriet R",female,,,,,,,,,,,,,,,,,,,
1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,,,,,,,,,,,,,,,,,,,
1,0,"Cumings, Mr. John Bradley",male,,,,,,,,,,,,,,,,,,,
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,,,,,,,,,,,,,,,,,,,
1,1,"Daly, Mr. Peter Denis ",male,,,,,,,,,,,,,,,,,,,
1,1,"Daniel, Mr. Robert Williams",male,,,,,,,,,,,,,,,,,,,
1,1,"Daniels, Miss. Sarah",female,,,,,,,,,,,,,,,,,,,
1,0,"Davidson, Mr. Thornton",male,,,,,,,,,,,,,,,,,,,
1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,,,,,,,,,,,,,,,,,,,
1,1,"Dick, Mr. Albert Adrian",male,,,,,,,,,,,,,,,,,,,
1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,,,,,,,,,,,,,,,,,,,
1,1,"Dodge, Dr. Washington",male,,,,,,,,,,,,,,,,,,,
1,1,"Dodge, Master. Washington",male,,,,,,,,,,,,,,,,,,,
1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,,,,,,,,,,,,,,,,,,,
1,0,"Douglas, Mr. Walter Donald",male,,,,,,,,,,,,,,,,,,,
1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,,,,,,,,,,,,,,,,,,,
1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,,,,,,,,,,,,,,,,,,,
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,,,,,,,,,,,,,,,,,,,
1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,,,,,,,,,,,,,,,,,,,
1,0,"Dulles, Mr. William Crothers",male,,,,,,,,,,,,,,,,,,,
1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,,,,,,,,,,,,,,,,,,,
1,1,"Endres, Miss. Caroline Louise",female,,,,,,,,,,,,,,,,,,,
1,1,"Eustis, Miss. Elizabeth Mussey",female,,,,,,,,,,,,,,,,,,,
1,0,"Evans, Miss. Edith Corse",female,,,,,,,,,,,,,,,,,,,
1,0,"Farthing, Mr. John",male,,,,,,,,,,,,,,,,,,,
1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,,,,,,,,,,,,,,,,,,,
1,1,"Fleming, Miss. Margaret",female,,,,,,,,,,,,,,,,,,,
1,1,"Flynn, Mr. John Irwin (""Irving"")",male,,,,,,,,,,,,,,,,,,,
1,0,"Foreman, Mr. Benjamin Laventall",male,,,,,,,,,,,,,,,,,,,
1,1,"Fortune, Miss. Alice Elizabeth",female,,,,,,,,,,,,,,,,,,,
1,1,"Fortune, Miss. Ethel Flora",female,,,,,,,,,,,,,,,,,,,
1,1,"Fortune, Miss. Mabel Helen",female,,,,,,,,,,,,,,,,,,,
1,0,"Fortune, Mr. Charles Alexander",male,,,,,,,,,,,,,,,,,,,
1,0,"Fortune, Mr. Mark",male,,,,,,,,,,,,,,,,,,,
1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,,,,,,,,,,,,,,,,,,,
1,1,"Francatelli, Miss. Laura Mabel",female,,,,,,,,,,,,,,,,,,,
1,0,"Franklin, Mr. Thomas Parham",male,,,,,,,,,,,,,,,,,,,
1,1,"Frauenthal, Dr. Henry William",male,,,,,,,,,,,,,,,,,,,
1,1,"Frauenthal, Mr. Isaac Gerald",male,,,,,,,,,,,,,,,,,,,
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,,,,,,,,,,,,,,,,,,
1,1,"Frolicher, Miss. Hedwig Margaritha",female,,,,,,,,,,,,,,,,,,,
1,1,"Frolicher-Stehli, Mr. Maxmillian",male,,,,,,,,,,,,,,,,,,,
1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,,,,,,,,,,,,,,,,,,,
1,0,"Fry, Mr. Richard",male,,,,,,,,,,,,,,,,,,,
1,0,"Futrelle, Mr. Jacques Heath",male,,,,,,,,,,,,,,,,,,,
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,,,,,,,,,,,,,,,,,,,
1,0,"Gee, Mr. Arthur H",male,,,,,,,,,,,,,,,,,,,
1,1,"Geiger, Miss. Amalie",female,,,,,,,,,,,,,,,,,,,
1,1,"Gibson, Miss. Dorothy Winifred",female,,,,,,,,,,,,,,,,,,,
1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,,,,,,,,,,,,,,,,,,,
1,0,"Giglio, Mr. Victor",male,,,,,,,,,,,,,,,,,,,
1,1,"Goldenberg, Mr. Samuel L",male,,,,,,,,,,,,,,,,,,,
1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,,,,,,,,,,,,,,,,,,
1,0,"Goldschmidt, Mr. George B",male,,,,,,,,,,,,,,,,,,,
1,1,"Gracie, Col. Archibald IV",male,,,,,,,,,,,,,,,,,,,
1,1,"Graham, Miss. Margaret Edith",female,,,,,,,,,,,,,,,,,,,
1,0,"Graham, Mr. George Edward",male,,,,,,,,,,,,,,,,,,,
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,,,,,,,,,,,,,,,,,,,
1,1,"Greenfield, Mr. William Bertram",male,,,,,,,,,,,,,,,,,,,
1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,,,,,,,,,,,,,,,,,,,
1,0,"Guggenheim, Mr. Benjamin",male,,,,,,,,,,,,,,,,,,,
1,1,"Harder, Mr. George Achilles",male,,,,,,,,,,,,,,,,,,,
1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,,,,,,,,,,,,,,,,,,,
1,1,"Harper, Mr. Henry Sleeper",male,,,,,,,,,,,,,,,,,,,
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,,,,,,,,,,,,,,,,,,,
1,0,"Harrington, Mr. Charles H",male,,,,,,,,,,,,,,,,,,,
1,0,"Harris, Mr. Henry Birkhardt",male,,,,,,,,,,,,,,,,,,,
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,,,,,,,,,,,,,,,,,,,
1,0,"Harrison, Mr. William",male,,,,,,,,,,,,,,,,,,,
1,1,"Hassab, Mr. Hammad",male,,,,,,,,,,,,,,,,,,,
1,1,"Hawksford, Mr. Walter James",male,,,,,,,,,,,,,,,,,,,
1,1,"Hays, Miss. Margaret Bechstein",female,,,,,,,,,,,,,,,,,,,
1,0,"Hays, Mr. Charles Melville",male,,,,,,,,,,,,,,,,,,,
1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,,,,,,,,,,,,,,,,,,,
1,0,"Head, Mr. Christopher",male,,,,,,,,,,,,,,,,,,,
1,0,"Hilliard, Mr. Herbert Henry",male,,,,,,,,,,,,,,,,,,,
1,0,"Hipkins, Mr. William Edward",male,,,,,,,,,,,,,,,,,,,
